player_name,team,innings,runs,balls,average,strike_rate,centuries,fifties,zeros
MD Gunathilaka,Sri Lanka,29,1115,1321,38.44827586206897,78.12350083323217,2,8,1
TM Dilshan,Sri Lanka,234,8646,10076,36.94871794871793,81.74573876881419,21,39,8
HDRL Thirimanne,Sri Lanka,95,2834,3934,29.83157894736842,65.26792531357084,4,17,5
LD Chandimal,Sri Lanka,116,3100,4255,26.72413793103448,65.61105720973586,3,21,10
AD Mathews,Sri Lanka,167,5046,6067,30.21556886227545,75.52043215550972,2,35,15
TAM Siriwardana,Sri Lanka,15,348,338,23.2,103.7411034217224,0,2,0
CK Kapugedera,Sri Lanka,72,1432,2038,19.88888888888888,64.01177493788826,0,8,7
KMDN Kulasekara,Sri Lanka,115,1322,1655,11.49565217391304,77.06982296247106,0,4,12
SMSM Senanayake,Sri Lanka,33,290,321,8.787878787878787,93.52434241337987,0,0,6
PVD Chameera,Sri Lanka,7,55,98,7.857142857142857,51.3444170771757,0,0,1
JDF Vandersay,Sri Lanka,3,22,53,7.333333333333333,41.69246646026831,0,0,0
MJ Guptill,New Zealand,164,6202,7179,37.8170731707317,76.3348525632498,14,35,13
TWM Latham,New Zealand,75,2117,2653,28.22666666666667,69.9087496414551,3,12,6
DB Sharma,India,27,722,1243,26.74074074074074,54.21547106951344,0,8,3
MR Meshram,India,15,311,547,20.73333333333333,48.3978589479323,0,3,2
DP Vaidya,India,4,111,147,27.75,47.71939165574487,0,1,1
M Raj,India,35,1563,2249,44.65714285714286,63.15067548968989,1,16,1
H Kaur,India,30,799,1153,26.63333333333333,66.6425205046944,1,2,3
V Krishnamurthy,India,14,218,272,15.57142857142857,82.42349148753091,0,1,0
AC Jayangani,Sri Lanka,41,1443,2115,35.19512195121951,55.56154254076524,3,8,3
LE Kaushalya,Sri Lanka,23,399,573,17.34782608695652,55.79428572100448,0,3,2
GWHM Perera,Sri Lanka,22,315,630,14.31818181818182,47.61119169781185,0,0,3
MDN Hansika,Sri Lanka,20,315,677,15.75,35.41460277056098,0,0,4
MADD Surangika,Sri Lanka,28,583,1040,20.82142857142857,51.80315445206868,0,3,3
M Shehani,Sri Lanka,1,11,19,11.0,57.89473684210527,0,0,0
SS Weerakkody,Sri Lanka,26,233,389,8.961538461538463,59.84657619268603,0,0,4
PM Weerakkody,Sri Lanka,30,532,955,17.73333333333333,53.20171100932717,0,1,1
KDU Prabodhani,Sri Lanka,19,103,237,5.421052631578948,43.2882664873327,0,0,5
SIP Fernando,Sri Lanka,7,15,49,2.142857142857143,26.42857142857143,0,0,4
Mohammad Hafeez,Pakistan,171,5708,7209,33.38011695906431,67.06762215718915,11,32,12
Imran Farhat,Pakistan,37,1033,1614,27.91891891891891,56.81771443294581,0,9,1
Shahid Afridi,Pakistan,157,3208,2531,20.43312101910827,110.0435233597393,2,12,12
Younis Khan,Pakistan,132,3872,5227,29.33333333333333,61.81313938660313,5,26,11
Mohammad Yousuf,Pakistan,73,2602,3533,35.64383561643836,69.69848010349845,4,17,0
Inzamam-ul-Haq,Pakistan,23,591,863,25.69565217391304,65.32204421234005,0,1,1
Abdul Razzaq,Pakistan,52,1067,1318,20.51923076923077,78.86961770172292,1,3,1
Kamran Akmal,Pakistan,106,2388,2994,22.52830188679245,70.16334971242628,2,9,9
Naved-ul-Hasan,Pakistan,27,314,357,11.62962962962963,85.63055942596723,0,0,2
Iftikhar Anjum,Pakistan,25,175,281,7.0,80.72146999886937,0,0,3
Mohammad Asif,Pakistan,12,26,94,2.166666666666667,33.70312249956212,0,0,4
AJ Strauss,England,81,2766,3468,34.14814814814815,67.39527293578358,4,19,7
EC Joyce,England,64,2031,2906,31.73437499999999,59.01517393741962,4,11,4
IR Bell,England,146,5168,6799,35.39726027397261,72.42977609930121,4,33,6
PD Collingwood,England,103,3195,4080,31.01941747572815,71.9033894779853,3,18,4
KP Pietersen,England,103,3450,4211,33.49514563106795,71.54164484110927,6,19,6
JWM Dalrymple,England,26,487,677,18.73076923076923,60.80162599056503,0,2,2
CMW Read,England,7,61,77,8.714285714285714,49.22995591198356,0,0,2
MH Yardy,England,24,326,490,13.58333333333333,66.01555338656942,0,2,1
SI Mahmood,England,12,84,99,7.0,80.8503256003256,0,0,2
WU Tharanga,Sri Lanka,175,5617,7704,32.09714285714287,62.46873131298182,13,32,15
KC Sangakkara,Sri Lanka,236,9966,12385,42.22881355932203,72.03442921686872,21,67,11
