date,name,team,opposition,venue,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
2015-12-28,DAJ Bracewell,New Zealand,Sri Lanka,Hagley Oval,0,0.0,0.0,0.0,0,1
,MJ Henry,New Zealand,Sri Lanka,Hagley Oval,0,0.0,0.0,0.0,0,4
,MJ McClenaghan,New Zealand,Sri Lanka,Hagley Oval,0,0.0,0.0,0.0,0,4
,MJ Santner,New Zealand,Sri Lanka,Hagley Oval,0,0.0,0.0,0.0,0,0
,IS Sodhi,New Zealand,Sri Lanka,Hagley Oval,0,0.0,0.0,0.0,0,1
,PVD Chameera,Sri Lanka,New Zealand,Hagley Oval,0,0.0,0.0,0.0,0,0
,KMDN Kulasekara,Sri Lanka,New Zealand,Hagley Oval,0,0.0,0.0,0.0,0,0
,SMSM Senanayake,Sri Lanka,New Zealand,Hagley Oval,0,0.0,0.0,0.0,0,0
,JDF Vandersay,Sri Lanka,New Zealand,Hagley Oval,0,0.0,0.0,0.0,0,0
2017-02-07,KDU Prabodhani,Sri Lanka,India,P Sara Oval,0,0.0,0.0,0.0,0,2
,SS Weerakkody,Sri Lanka,India,P Sara Oval,0,0.0,0.0,0.0,0,1
,SIP Fernando,Sri Lanka,India,P Sara Oval,0,0.0,0.0,0.0,0,1
,AC Jayangani,Sri Lanka,India,P Sara Oval,0,0.0,0.0,0.0,0,0
,LE Kaushalya,Sri Lanka,India,P Sara Oval,0,0.0,0.0,0.0,0,0
,I Ranaweera,Sri Lanka,India,P Sara Oval,0,0.0,0.0,0.0,0,0
,M Shehani,Sri Lanka,India,P Sara Oval,0,0.0,0.0,0.0,0,0
,S Pandey,India,Sri Lanka,P Sara Oval,0,0.0,0.0,0.0,0,1
,SK Yadav,India,Sri Lanka,P Sara Oval,0,0.0,0.0,0.0,0,0
,DB Sharma,India,Sri Lanka,P Sara Oval,0,0.0,0.0,0.0,0,2
,E Bisht,India,Sri Lanka,P Sara Oval,0,0.0,0.0,0.0,0,3
,RS Gayakwad,India,Sri Lanka,P Sara Oval,0,0.0,0.0,0.0,0,2
,DP Vaidya,India,Sri Lanka,P Sara Oval,0,0.0,0.0,0.0,0,0
2006-09-10,SCJ Broad,England,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,0
,J Lewis,England,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,1
,SI Mahmood,England,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,3
,PD Collingwood,England,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,2
,MH Yardy,England,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,1
,JWM Dalrymple,England,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,2
,Mohammad Asif,Pakistan,England,Edgbaston,0,0.0,0.0,0.0,0,2
,Naved-ul-Hasan,Pakistan,England,Edgbaston,0,0.0,0.0,0.0,0,0
,Iftikhar Anjum,Pakistan,England,Edgbaston,0,0.0,0.0,0.0,0,1
,Abdul Razzaq,Pakistan,England,Edgbaston,0,0.0,0.0,0.0,0,2
,Shahid Afridi,Pakistan,England,Edgbaston,0,0.0,0.0,0.0,0,2
2010-06-18,Mashrafe Mortaza,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,0
,Syed Rasel,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,0
,Shafiul Islam,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,2
,Shakib Al Hasan,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,1
,Mohammad Ashraful,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,0
,Naeem Islam,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,0
,Mahmudullah,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,1
,KMDN Kulasekara,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,1,0.0,0.0,9.0,0,1
,SL Malinga,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,2
,TM Dilshan,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,3
,M Muralitharan,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,2
,UWMBCA Welegedara,Sri Lanka,Bangladesh,Rangiri Dambulla International Stadium,0,0.0,0.0,0.0,0,2
2012-07-11,KH Brunt,England,India,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,2
,GA Elwiss,England,India,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,3
,JL Gunn,England,India,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,0
,HL Colvin,England,India,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,1
,DN Wyatt,England,India,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,1
,A Brindle,England,India,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,1
,J Goswami,India,England,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,1
,N Niranjana,India,England,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,2
,A Sharma,India,England,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,1
,S Sharma,India,England,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,0
,G Sultana,India,England,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,0
,V Krishnamurthy,India,England,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,0
,R Malhotra,India,England,Sir Paul Getty's Ground,0,0.0,0.0,0.0,0,0
2019-06-26,Mohammad Hafeez,Pakistan,New Zealand,Edgbaston,0,0.0,0.0,0.0,0,0
,Mohammad Amir,Pakistan,New Zealand,Edgbaston,0,0.0,0.0,0.0,0,1
,Shaheen Shah Afridi,Pakistan,New Zealand,Edgbaston,0,0.0,0.0,0.0,0,3
,Imad Wasim,Pakistan,New Zealand,Edgbaston,0,0.0,0.0,0.0,0,0
,Shadab Khan,Pakistan,New Zealand,Edgbaston,0,0.0,0.0,0.0,0,1
,Wahab Riaz,Pakistan,New Zealand,Edgbaston,0,0.0,0.0,0.0,0,1
,TA Boult,New Zealand,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,1
,MJ Henry,New Zealand,Pakistan,Edgbaston,1,9.25,14.5,3.82758620689655,1,1
,LH Ferguson,New Zealand,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,1
,C de Grandhomme,New Zealand,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,0
,MJ Santner,New Zealand,Pakistan,Edgbaston,1,0.0,0.0,5.0,0,0
,JDS Neesham,New Zealand,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,0
,KS Williamson,New Zealand,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,1
,C Munro,New Zealand,Pakistan,Edgbaston,0,0.0,0.0,0.0,0,0
2014-10-08,B Kumar,India,West Indies,Nehru Stadium,0,0.0,0.0,0.0,0,0
,MM Sharma,India,West Indies,Nehru Stadium,0,0.0,0.0,0.0,0,0
,Mohammed Shami,India,West Indies,Nehru Stadium,0,0.0,0.0,0.0,0,4
,RA Jadeja,India,West Indies,Nehru Stadium,0,0.0,0.0,0.0,0,1
,A Mishra,India,West Indies,Nehru Stadium,0,0.0,0.0,0.0,0,1
,SK Raina,India,West Indies,Nehru Stadium,0,0.0,0.0,0.0,0,0
,R Rampaul,West Indies,India,Nehru Stadium,0,0.0,0.0,0.0,0,3
,JE Taylor,West Indies,India,Nehru Stadium,0,0.0,0.0,0.0,0,1
,DJ Bravo,West Indies,India,Nehru Stadium,0,0.0,0.0,0.0,0,2
,AD Russell,West Indies,India,Nehru Stadium,0,0.0,0.0,0.0,0,1
,SJ Benn,West Indies,India,Nehru Stadium,0,0.0,0.0,0.0,0,0
,DJG Sammy,West Indies,India,Nehru Stadium,0,0.0,0.0,0.0,0,1
,MN Samuels,West Indies,India,Nehru Stadium,0,0.0,0.0,0.0,0,2
2009-10-21,S Ismail,South Africa,West Indies,Boland Bank Park,0,0.0,0.0,0.0,0,0
,C van der Westhuizen,South Africa,West Indies,Boland Bank Park,0,0.0,0.0,0.0,0,2
,D van Niekerk,South Africa,West Indies,Boland Bank Park,0,0.0,0.0,0.0,0,3
,MM Letsoalo,South Africa,West Indies,Boland Bank Park,0,0.0,0.0,0.0,0,0
,S Loubser,South Africa,West Indies,Boland Bank Park,0,0.0,0.0,0.0,0,1
,AE Smith,South Africa,West Indies,Boland Bank Park,0,0.0,0.0,0.0,0,0
,SA Fritz,South Africa,West Indies,Boland Bank Park,0,0.0,0.0,0.0,0,4
,SC Selman,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,0
,PY Lavine,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,0
,SF Daley,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,1
,CP Jack,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,0
,SR Taylor,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,0
,SA Campbelle,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,0
,DJS Dottin,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,0
,SACA King,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,2
,A Mohammed,West Indies,South Africa,Boland Bank Park,0,0.0,0.0,0.0,0,0
2007-02-11,MM Patel,India,Sri Lanka,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,4
,S Sreesanth,India,Sri Lanka,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,2
,SC Ganguly,India,Sri Lanka,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,0
,Harbhajan Singh,India,Sri Lanka,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,1
,A Kumble,India,Sri Lanka,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,0
,SR Tendulkar,India,Sri Lanka,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,1
,SL Malinga,Sri Lanka,India,Madhavrao Scindia Cricket Ground,1,18.5,26.5,4.18867924528302,0,2
,MF Maharoof,Sri Lanka,India,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,3
,KMDN Kulasekara,Sri Lanka,India,Madhavrao Scindia Cricket Ground,2,19.5,19.0,7.57894736842105,0,0
,HMCM Bandara,Sri Lanka,India,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,2
,ST Jayasuriya,Sri Lanka,India,Madhavrao Scindia Cricket Ground,0,0.0,0.0,0.0,0,2
,TM Dilshan,Sri Lanka,India,Madhavrao Scindia Cricket Ground,1,12.3333333333333,21.0,3.52380952380952,0,0
2007-12-07,DBL Powell,West Indies,Zimbabwe,Queens Sports Club,0,0.0,0.0,0.0,0,0
,R Rampaul,West Indies,Zimbabwe,Queens Sports Club,1,16.3333333333333,16.6666666666667,5.88,0,0
,JE Taylor,West Indies,Zimbabwe,Queens Sports Club,1,50.0,62.0,4.83870967741936,0,6
,MN Samuels,West Indies,Zimbabwe,Queens Sports Club,1,5.0,9.0,3.33333333333333,0,0
,N Deonarine,West Indies,Zimbabwe,Queens Sports Club,0,0.0,0.0,0.0,0,0
,RN Lewis,West Indies,Zimbabwe,Queens Sports Club,0,0.0,0.0,0.0,0,1
,DJ Bravo,West Indies,Zimbabwe,Queens Sports Club,1,14.0,20.5,4.09756097560976,0,2
,E Chigumbura,Zimbabwe,West Indies,Queens Sports Club,0,0.0,0.0,0.0,0,1
,GB Brent,Zimbabwe,West Indies,Queens Sports Club,0,0.0,0.0,0.0,0,0
,RW Price,Zimbabwe,West Indies,Queens Sports Club,0,0.0,0.0,0.0,0,1
,CJ Chibhabha,Zimbabwe,West Indies,Queens Sports Club,0,0.0,0.0,0.0,0,0
,P Utseya,Zimbabwe,West Indies,Queens Sports Club,0,0.0,0.0,0.0,0,3
,KM Dabengwa,Zimbabwe,West Indies,Queens Sports Club,0,0.0,0.0,0.0,0,0
2019-07-04,ML Schutt,Australia,England,Grace Road,0,0.0,0.0,0.0,0,1
,EA Perry,Australia,England,Grace Road,0,0.0,0.0,0.0,0,1
,JL Jonassen,Australia,England,Grace Road,0,0.0,0.0,0.0,0,2
,G Wareham,Australia,England,Grace Road,0,0.0,0.0,0.0,0,0
,A Gardner,Australia,England,Grace Road,0,0.0,0.0,0.0,0,1
,DM Kimmince,Australia,England,Grace Road,0,0.0,0.0,0.0,0,5
,A Shrubsole,England,Australia,Grace Road,0,0.0,0.0,0.0,0,3
,KL Cross,England,Australia,Grace Road,0,0.0,0.0,0.0,0,1
